#HOW TO COMPLY NAMES AND DESCRIPTION TO OceanSites FORMAT,,,,,
#NAME, standard_name, unit, fill value, min, max
ABSI,backscatter_intensity_from_acoustic_beam,decibel,999999.0,0.0,150.0
ABSI1,backscatter_intensity_from_acoustic_beam_1,decibel,999999.0,0.0,150.0
ABSI2,backscatter_intensity_from_acoustic_beam_2,decibel,999999.0,0.0,150.0
ABSI3,backscatter_intensity_from_acoustic_beam_3,decibel,999999.0,0.0,150.0
ABSI4,backscatter_intensity_from_acoustic_beam_4,decibel,999999.0,0.0,150.0
ABSIC1,backscatter_intensity_from_acoustic_beam_1,count,999999.0,/,/
ABSIC2,backscatter_intensity_from_acoustic_beam_2,count,999999.0,/,/
ABSIC3,backscatter_intensity_from_acoustic_beam_3,count,999999.0,/,/
ABSIC4,backscatter_intensity_from_acoustic_beam_4,count,999999.0,/,/
CMAG1,particle_distribution_correlation_magnitude_from_acoustic_beam_1,1,999999.0,0.0,250.0
CMAG2,particle_distribution_correlation_magnitude_from_acoustic_beam_2,1,999999.0,0.0,250.0
CMAG3,particle_distribution_correlation_magnitude_from_acoustic_beam_3,1,999999.0,0.0,250.0
CMAG4,particle_distribution_correlation_magnitude_from_acoustic_beam_4,1,999999.0,0.0,250.0
PERG1,percentage_of_good_three_beam_solutions,percent,999999.0,0.0,100.0
PERG2,percentage_of_transformations_rejected,percent,999999.0,0.0,100.0
PERG3,percentage_of_measurements_with_more_than_one_beam_bad,percent,999999.0,0.0,100.0
PERG4,percentage_of_good_four_beam_solutions,percent,999999.0,0.0,100.0
AIRT,air_temperature,degrees_Celsius,999999.0,-50.0,50.0
ATMP,air_pressure,Pascal,999999.0,90000.0,110000.0
ATMS,air_pressure_at_sea_level,Pascal,999999.0,90000.0,110000.0
BAT,volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water,m-1,999999.0,/,/
BOT_DEPTH,sea_floor_depth_below_sea_surface,m,999999.0,0.0,12000.0
CDIR,direction_of_sea_water_velocity,degree,999999.0,0.0,360.0
CDIR_MAG,direction_of_sea_water_velocity,degree,999999.0,0.0,360.0
CDOM,concentration_of_coloured_dissolved_organic_matter,/,999999.0,0.0,375.0
CHC,mass_concentration_of_crude_hydrocarbon_in_sea_water,ugl-1,999999.0,/,/
CHR,mass_concentration_of_refined_hydrocarbon_in_sea_water,ugl-1,999999.0,/,/
CNDC,sea_water_electrical_conductivity,Sm-1,999999.0,0.0,50000.0
CPHL,mass_concentration_of_inferred_chlorophyll_from_relative_fluorescence_units_in_sea_water,mgm-3,999999.0,0.0,100.0
CHLF,mass_concentration_of_inferred_chlorophyll_from_relative_fluorescence_units_in_sea_water,mgm-3,999999.0,0.0,100.0
CHLU,mass_concentration_of_inferred_chlorophyll_from_relative_fluorescence_units_in_sea_water,mgm-3,999999.0,0.0,100.0
CSPD,sea_water_speed,ms-1,999999.0,0.0,10.0
CSPD_STD,sea_water_speed_standard_deviation,ms-1,999999.0,0.0,10.0
DENS,sea_water_density,kgm-3,999999.0,/,/
DEPTH,depth,m,999999.0,-5.0,12000.0
DESC,profiling_descent_rate_of_instrument,ms-1,999999.0,0.0,5.0
DEWT,dew_point_temperature,degrees_Celsius,999999.0,-50.0,50.0
DIR,from_direction,degree,999999.0,0.0,360.0
DIR_MAG,from_direction,degree,999999.0,0.0,360.0
DIRECTION,direction_of_the_profile,/,/,/,/
DIRT,to_direction,degree,999999.0,0.0,360.0
DIST_ALONG_BEAMS,distance_from_sensor_along_beams,m,999999.0,-12000.0,12000.0
DOX1,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,umoll-1,999999.0,0.0,900000.0
DOX2,moles_of_oxygen_per_unit_mass_in_sea_water,umolkg-1,999999.0,0.0,880000.0
DOXS,fractional_saturation_of_oxygen_in_sea_water,percent,999999.0,/,/
DOXY,mass_concentration_of_oxygen_in_sea_water,kgm-3,999999.0,0.0,29.0
DOXY_TEMP,temperature_of_sensor_for_oxygen_in_sea_water,degrees_Celsius,999999.0,0.0,50.0
DRYT,dry_bulb_temperature,degrees_Celsius,999999.0,/,/
DYNHT,dynamic_height,m,999999.0,/,/
ECUR,error_sea_water_velocity,ms-1,999999.0,-5.0,5.0
FLU2,fluorescence_in_sea_water,count,999999.0,/,/
FREQUENCY,frequency,Hz,999999.0,0.0,900000.0
GDOP,radar_beam_intersection_angle,degree,999999.0,0.0,180.0
HEADING,platform_yaw_angle,degree,999999.0,0.0,360.0
HEADING_MAG,platform_yaw_angle,degree,999999.0,0.0,360.0
HEAT,heat_content,10^10Jm-2,999999.0,/,/
HEAT_NET,upward_heat_flux_in_air,Wm-2,999999.0,/,/
HEIGHT_ABOVE_SENSOR,height,m,999999.0,-12000.0,12000.0
HL,surface_upward_latent_heat_flux,Wm-2,999999.0,/,/
HS,surface_upward_sensible_heat_flux,Wm-2,999999.0,/,/
ISO17,depth_of_isosurface_of_sea_water_potential_temperature,m,999999.0,/,/
LATITUDE,latitude,degrees_north,999999.0,-90.0,90.0
LONGITUDE,longitude,degrees_east,999999.0,-180.0,180.0
LW,surface_downwelling_longwave_flux_in_air,Wm-2,999999.0,/,/
LW_NET,surface_net_upward_longwave_flux,Wm-2,999999.0,/,/
MASS_NET,upward_mass_flux_of_air,kgm-2s-1,999999.0,/,/
MAXZ,maximum_number_of_samples_in_vertical_profile,/,/,/,/
mean_depth,mean_cell_depth,m,9999.0,0.0,10000
mean_height,mean_cell_height,m,9999.0,0.0,100
NOBS,number_of_observations_considered,1,/,/,/
NOMINAL_DEPTH,depth,m,999999.0,-5.0,12000.0
NTRA,mole_concentration_of_nitrate_in_sea_water,umolel-1,999999.0,/,/
NTR2,moles_of_nitrate_per_unit_mass_in_sea_water,umolekg-1,999999.0,/,/
OPBS,optical_backscattering_coefficient,1,999999.0,/,/
PAR,downwelling_photosynthetic_photon_flux_in_sea_water,umolem-2s-1,999999.0,/,/
CPAR,downwelling_corrected_photosynthetic_photon_flux_in_sea_water,percent,999999.0,0,100
PCO2,surface_partial_pressure_of_carbon_dioxide_in_air,Pascal,999999.0,/,/
PHOS,moles_of_phosphate_per_unit_mass_in_sea_water,umolekg-1,999999.0,/,/
PHO2,mole_concentration_of_phosphate_in_sea_water,umolel-1,999999.0,/,/
PITCH,platform_pitch_angle,degree,999999.0,-180.0,180.0
PRES,sea_water_pressure,dbar,999999.0,-5.0,12000.0
PRES_REL,sea_water_pressure_due_to_sea_water,dbar,999999.0,-15.0,12000.0
PROFILE,unique_identifier_for_each_profile_feature_instance_in_this_file,/,/,/,/
PSAL,sea_water_practical_salinity,/,999999.0,2.0,41.0
Q,specific_humidity,1,999999.0,0.0,150.0
RRATE,rainfall_rate,mms-1,999999.0,/,/
RAIN_AMOUNT,thickness_of_rainfall_amount,mm,999999.0,/,/
RELH,relative_humidity,percent,999999.0,0.0,150.0
ROLL,platform_roll_angle,degree,999999.0,-180.0,180.0
SLCA,mole_concentration_of_silicate_in_sea_water,umolel-1,999999.0,/,/
SLC2,moles_of_silicate_per_unit_mass_in_sea_water,umolekg-1,999999.0,/,/
SNR1,signal_noise_ratio_from_acoustic_beam_1,decibel,999999.0,0.0,150.0
SNR2,signal_noise_ratio_from_acoustic_beam_2,decibel,999999.0,0.0,150.0
SNR3,signal_noise_ratio_from_acoustic_beam_3,decibel,999999.0,0.0,150.0
SPCT,awac_spectra_calculation_method,/,/,/,/
SPEC_CNDC,sea_water_specific_electrical_conductivity,Sm-1,999999.0,0.0,50000.0
SRAD,isotropic_shortwave_radiance_in_air,Wm-1sr-1,999999.0,/,/
SSDS,sea_surface_wave_directional_spread,degree,999999.0,0.0,360.0
SSDS_MAG,sea_surface_wave_directional_spread,degree,999999.0,0.0,360.0
SSPD,speed_of_sound_in_sea_water,ms-1,999999.0,1400.0,1600.0
SSS,sea_surface_salinity,/,999999.0,2.0,41.0
SST,sea_surface_skin_temperature,degrees_Celsius,999999.0,/,/
SSTI,sea_surface_temperature,degrees_Celsius,999999.0,-2.5,40.0
SSWD,sea_surface_wave_from_direction_by_frequency,degree,999999.0,0.0,360.0
SSWD_MAG,sea_surface_wave_from_direction_by_frequency,degree,999999.0,0.0,360.0
SSWDT,sea_surface_wave_to_direction_by_frequency,degree,999999.0,0.0,360.0
SSWST,sea_surface_wave_to_directional_variance,m2degree-1,999999.0,/,/
SSWV,sea_surface_wave_directional_variance_spectral_density,m2sdegree-1,999999.0,/,/
SSWV_MAG,sea_surface_wave_magnetic_directional_variance_spectral_density,m2sdegree-1,999999.0,/,/
SSWVT,sea_surface_wave_to_directional_variance_spectral_density,m2sdegree-1,999999.0,/,/
Sv,mean_volume_backscatter_coefficient,m-1,9999.0,0.0,1.0
SV_mean,mean_volume_backscatter,decibel,999999.0,-128.0,0.0
Sv_kurt,kurtosis_volume_backscatter,m-1,9999.0,0.0,1.0
Sv_pcnt_good,percent_Sv_samples_included,percent,9999.0,0.0,1.0
Sv_sd,standard_deviation_volume_backscatter,m-1,9999.0,0.0,1.0
Sv_skew,skewness_volume_backscatter,m-1,9999.0,0.0,1.0
Sv_unfilt,mean_volume_backscatter_including_bad_data,m-1,9999.0,0.0,1.0
Sv_unfilt_kurt,kurtosis_volume_backscatter_including_bad_data,m-1,9999.0,0.0,1.0
Sv_unfilt_sd,standard_deviation_volume_backscatter_including_bad_data,m-1,9999.0,0.0,1.0
Sv_unfilt_skew,skewness_volume_backscatter_including_bad_data,m-1,9999.0,0.0,1.0
SW,surface_downwelling_shortwave_flux_in_air,Wm-2,999999.0,/,/
SWPD,sea_surface_peak_swell_wave_from_direction,degree,999999.0,0.0,360.0
SWPD_MAG,sea_surface_peak_swell_wave_from_direction,degree,999999.0,0.0,360.0
SWPP,sea_surface_peak_swell_wave_period,Second,999999.0,0.0,100.0
SWSH,sea_surface_swell_wave_significant_height,m,999999.0,0.0,100.0
SW_NET,surface_net_upward_shortwave_flux,Wm-2,999999.0,/,/
TAU,magnitude_of_surface_downward_stress,Pascal,999999.0,/,/
TEMP,sea_water_temperature,degrees_Celsius,999999.0,-2.5,40.0
TIME,time,dayssince1950-01-0100:00:00UTC,999999.0,0.0,90000.0
TURB,sea_water_turbidity,1,999999.0,0.0,1000.0
TURBF,sea_water_turbidity_in_FTU,1,999999.0,0.0,1000.0
UCUR,eastward_sea_water_velocity,ms-1,999999.0,-10.0,10.0
UCUR_MAG,magnetic_eastward_sea_water_velocity,ms-1,999999.0,-10.0,10.0
UWND,eastward_wind,ms-1,999999.0,/,/
VAVH,sea_surface_wave_significant_height,m,999999.0,0.0,100.0
VAVT,sea_surface_wave_zero_upcrossing_period,Second,999999.0,0.0,100.0
VBSC,volumetric_backscatter_coefficient,m-1sr-1,999999.0,/,/
VCUR,northward_sea_water_velocity,ms-1,999999.0,-10.0,10.0
VCUR_MAG,magnetic_northward_sea_water_velocity,ms-1,999999.0,-10.0,10.0
VDEN,sea_surface_wave_variance_spectral_density,m2s,999999.0,/,/
VDEV,sea_surface_wave_variance_spectral_density_from_velocity,m2s,999999.0,/,/
VDEP,sea_surface_wave_variance_spectral_density_from_pressure,m2s,999999.0,/,/
VDES,sea_surface_wave_variance_spectral_density_from_range_to_surface,m2s,999999.0,/,/
VDIR,sea_surface_wave_from_direction,degree,999999.0,0.0,360.0
VDIR_MAG,sea_surface_wave_from_direction,degree,999999.0,0.0,360.0
VDIRT,sea_surface_wave_to_direction,degree,999999.0,0.0,360.0
VEL1,sea_water_velocity_from_acoustic_beam_1,ms-1,999999.0,-10.0,10.0
VEL2,sea_water_velocity_from_acoustic_beam_2,ms-1,999999.0,-10.0,10.0
VEL3,sea_water_velocity_from_acoustic_beam_3,ms-1,999999.0,-10.0,10.0
VOLT,voltage,V,999999.0,-100.0,100.0
VSF412,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_412nm,m-1sr-1,999999.0,/,/
VSF440,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_440nm,m-1sr-1,999999.0,/,/
VSF470,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_470nm,m-1sr-1,999999.0,0.0,0.5
VSF488,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_488nm,m-1sr-1,999999.0,/,/
VSF510,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_510nm,m-1sr-1,999999.0,/,/
VSF532,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_532nm,m-1sr-1,999999.0,0.0,0.5
VSF595,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_595nm,m-1sr-1,999999.0,/,/
VSF650,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_650nm,m-1sr-1,999999.0,/,/
VSF660,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_660nm,m-1sr-1,999999.0,/,/
VSF676,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_676nm,m-1sr-1,999999.0,/,/
VSF715,volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_715nm,m-1sr-1,999999.0,/,/
VWND,northward_wind,ms-1,999999.0,/,/
WCUR,upward_sea_water_velocity,ms-1,999999.0,-5.0,5.0
WDIR,wind_to_direction,degree,999999.0,0.0,360.0
WDIRF_AVG,wind_from_direction,degree,999999.0,0.0,360.0
WHTE,sea_surface_wave_significant_height_of_highest_one_tenth,m,999999.0,0.0,100.0
WHTH,sea_surface_wave_significant_height_of_highest_one_third,m,999999.0,0.0,100.0
WPFM,sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment,Second,999999.0,0.0,100.0
WPMH,sea_surface_wave_zero_crossing_period,Second,999999.0,0.0,100.0
